RiverName,RiverCode,Date,Center Latitude,Center Longitude,WaterTemp,mmHg,DO%,DOmg.L,C.us.-cm,pH.mV,ORP.mV,Mean.Depth,Mean.Flow
Renews River,RNR,2-Sep-20,46.933851,-52.952604,18.8,766.0,82.9,7.8,20.1,42.0,193.7,0.2,0.4
Northeast Trepassy,NTR,3-Sep-20,46.766232,-53.351889,18.2,764.7,82.2,7.8,25.0,71.5,212.6,0.2,0.4
Peters River,PRR,3-Sep-20,46.767376,-53.605055,19.8,764.4,83.1,7.6,23.7,30.9,187.7,0.3,1.2
Salmonier River,SLR,4-Sep-20,47.187395,-53.388985,19.0,764.2,85.0,7.9,28.3,-7.0,165.2,0.7,0.8
Red Head River,RHR,4-Sep-20,46.952833,-53.869351,17.3,763.8,81.6,7.9,27.1,11.0,157.5,0.4,0.4
Branch River,BRA,4-Sep-20,46.886773,-53.966152,20.5,763.5,82.6,7.4,32.1,-9.3,154.2,0.2,0.3
Cuslett Brook,CUS,4-Sep-20,46.958179,-54.166982,20.9,763.0,77.2,7.0,48.0,-17.6,185.5,0.1,0.3
Ship Cove,SHC,4-Sep-20,47.096149,-54.071898,17.5,762.9,83.8,8.0,39.2,-30.5,213.7,0.1,0.5
Great Barasway River,GBW,4-Sep-20,47.126782,-54.063669,17.7,761.0,84.0,8.0,40.8,-26.2,161.7,0.1,0.5
Northeast Placentia River,NRP,5-Sep-20,47.273458,-53.839296,20.3,759.7,76.1,7.0,28.0,-1.6,153.4,0.5,0.3
Ship Harbour River,SHI,5-Sep-20,47.346292,-53.868005,21.0,755.6,80.6,7.2,22.4,24.8,205.5,0.1,0.5
Broadcove Brook,BRB,6-Sep-20,47.840301,-53.098675,18.9,765.2,85.0,7.8,19.5,10.0,171.4,0.1,0.6
Hearts Delight Brook,HDB,6-Sep-20,47.770484,-53.462321,20.8,765.5,82.3,7.4,28.5,-2.3,192.1,0.2,0.7
South Dildo Brook,SDB,6-Sep-20,47.517262,-53.556065,19.2,765.1,85.4,7.9,61.7,-10.8,221.8,0.2,1.0
Fair Haven Brook,FHB,6-Sep-20,47.540636,-53.892022,19.4,766.0,82.6,7.6,25.3,9.3,210.7,0.3,1.2
Bellevue,BVR,6-Sep-20,47.604805,-53.762676,19.8,766.3,79.5,7.2,24.8,41.6,194.5,0.3,0.7
Terra Nova River,TNR,7-Sep-20,48.665728,-54.008407,18.0,770.8,84.4,7.9,12.6,22.1,221.0,,
Middle Brook (Port Blanford),MBP,7-Sep-20,48.356701,-54.165981,20.0,771.2,82.3,7.5,19.2,13.5,171.9,0.1,0.9
Shoal Harbour River,SOR,7-Sep-20,48.182363,-53.987666,18.7,771.8,83.3,7.8,29.9,3.4,162.7,0.2,0.9
Grand Le Pierre,GLP,8-Sep-20,47.693872,-54.778964,14.8,771.6,84.7,8.6,17.3,25.6,162.2,0.1,0.6
Come By Chance River,CBC,8-Sep-20,47.854220,-53.982432,20.3,769.9,81.9,7.4,48.6,1.9,153.7,0.2,0.4
Salmon Cover River (Trinity Bay),SCT,8-Sep-20,48.395739,-53.301702,19.4,768.3,83.0,7.6,34.1,6.5,175.9,0.2,0.7
Deer Harbour River,DHR,9-Sep-20,47.906953,-53.810685,18.8,770.7,83.6,7.8,20.0,12.8,171.9,0.2,0.7
Sandy Harbour River,SHA,9-Sep-20,47.703766,-54.349106,19.2,770.6,86.7,8.1,160.0,2.1,161.1,0.7,0.5
Red Harbour River (NE Branch),RHA,9-Sep-20,47.300441,-54.996653,20.4,770.9,85.7,7.7,19.1,57.4,215.4,0.2,0.9
Long Harbour River,LHR,9-Sep-20,47.817649,-54.942712,22.9,770.1,80.0,6.9,17.7,-0.6,197.5,0.3,0.6
Southern Bay River,SYR,9-Sep-20,48.382297,-53.672409,22.5,767.7,77.1,6.6,25.9,-6.2,234.3,0.3,0.5
Hickman's Harbour,HHR,9-Sep-20,48.215607,-53.588484,21.5,770.0,86.6,7.6,517.0,-5.2,91.5,0.2,0.7
Holyrood River,HRR,10-Sep-20,47.392936,-53.157901,20.0,771.3,85.5,7.8,48.8,-38.9,254.9,0.2,0.9
Hogan's pond,HOG,Oct-20,47.587640,-52.849110,13.0,758.5,763.0,8.0,90.7,-94.2,166.5,,
Mitchels Pond,MIP,Oct-20,47.593280,-52.847200,13.0,759.0,85.2,9.0,118.1,-14.9,174.3,,
Hughes Pond ,HUG,Oct-20,47.595790,-52.847180,13.6,759.4,66.7,6.9,117.8,-22.1,188.4,,
Oliver's Pond (In Pond),OLL,Oct-20,47.590820,-52.835310,13.7,758.7,69.0,7.2,76.8,-11.2,196.3,,
Oliver's Pond (Outlet),OLO,Oct-20,47.594510,-52.836570,13.4,758.7,60.6,6.4,75.8,-2.9,201.5,,
Salmon Cove Brook (Conception Bay) ,SCB,Dec-20,47.781840,-53.169260,4.0,779.1,86.0,11.2,25.1,-59.6,174.4,0.3,0.4
